t_idx,spectral_radius,is_stable
0,1.000000,1
1,1.000000,0
2,1.000000,1
3,1.000000,1
4,1.000000,0
5,1.000000,1
6,1.000000,1
7,1.000000,1
8,1.000000,0
9,1.000000,0
10,1.000000,0
11,1.000000,1
12,1.000000,1
13,1.000000,1
14,1.000000,1
15,1.000000,1
16,1.000000,1
17,1.000000,0
18,1.000000,1
19,1.000000,1
20,1.000000,1
21,1.000000,1
22,1.000000,0
23,1.000000,1
24,1.000000,0
25,1.000000,1
26,1.000000,1
27,1.000000,0
28,1.000000,1
29,1.000000,1
30,1.000000,1
31,1.000000,0
32,1.000000,1
33,1.000000,0
34,1.000000,1
35,1.000000,0
36,1.000000,1
37,1.000000,1
38,1.000000,0
39,1.000000,0
40,1.000000,1
41,1.000000,0
42,1.000000,1
43,1.000000,0
44,1.000000,1
45,1.000000,1
46,1.000000,1
47,1.000000,0
48,1.000000,0
49,1.000000,1
50,1.000000,0
51,1.000000,1
52,1.000000,1
53,1.000000,1
54,1.000000,1
55,1.000000,1
56,1.000000,1
57,1.000000,1
58,1.000000,1
59,1.000000,1
